0.1844,0.0952,0.1711,0,0.35,0,0.21533,0.012667
0.063333,0,0.085,0,0.19,0,0.29857,0
0.185,0,0.0196,0,0.055,0,0,0
0.14803,0.11677,0.32583,0.0093333,0.28,0.038,0.3025,0.029167
0.0175,0.028,0.069,0,0,0.08,0.1825,0
0.2542,0.0629,0.1432,0.0064,0.31778,0.0055556,0.325,0
0.35367,0.052667,0.211,0.045667,0.555,0.05,0.35125,0.00875
0.113,0.02,0.09375,0.05375,0.34,0,0.37,0
0.046333,0.066,0.067,0.072,0.03,0.015,0.04,0.03
0.12907,0.14573,0.21267,0.051,0.41833,0,0.255,0.04
0.19167,0.048,0.0565,0,0.16333,0.061667,0.31,0
0.16208,0.02875,0.028,0.018,0.378,0,0.13,0
0.1334,0.04,0.1896,0.0495,0.13857,0,0.080667,0.01
0.1495,0.16883,0.14167,0.093333,0.18625,0.16,0.19,0.14571
0.16317,0,0.1155,0,0.168,0,0.21143,0.12857
0.36,0,0.321,0.022,0.36,0,0.494,0
0.07875,0.16875,0,0.081667,0.366,0.2,0.228,0.124
0.10583,0.069167,0.38875,0,0.41333,0,0.14833,0
0.1693,0.054833,0.14533,0.055067,0.17105,0.10316,0.16929,0
0.19163,0.056067,0.11213,0.0073333,0.2275,0,0.10714,0.0028571
0.13033,0.16117,0.2265,0.087,0.26667,0,0.28857,0
0.073333,0,0.23967,0.011,0.17,0,0.04,0
